Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Abbott, Jim;1942-08-17;"MP (1997/06/02 - 2011/05/01)
MP (1993/10/25 - 1997/06/01)";"Kootenay--Columbia (1997/06/02 - 2011/05/01)
Kootenay East (1993/10/25 - 1997/06/01)";"British Columbia
British Columbia";M;"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Ablonczy, Diane;1949-05-05;"MP (1997/06/02 - 2015/10/18)
MP (1993/10/25 - 1997/06/01)";"Calgary--Nose Hill (1997/06/02 - 2015/10/18)
Calgary North (1993/10/25 - 1997/06/01)";"Alberta
Alberta";F;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Adams, Willie;1934-06-21;Senator (1977/04/05 - 2009/06/22);"Nunavut (1999/04/01 - 2009/06/22)
Northwest Territories (1977/04/05 - 1999/03/31)";"Nunavut
Northwest Territories";M;Liberal Party of Canada (1977/04/05 - 2009/06/22)
Aglukkaq, Leona;1967-06-27;MP (2008/10/14 - 2015/10/18);Nunavut (2008/10/14 - 2015/10/18);Nunavut;F;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Albrecht, Harold;1949-10-14;MP (2006/01/23 - 2019/10/20);Kitchener--Conestoga (2006/01/23 - 2019/10/20);Ontario;M;Conservative Party of Canada (2006/01/23 - 2019/10/20)
Allen, Malcolm;1953-05-29;MP (2008/10/14 - 2015/10/18);Welland (2008/10/14 - 2015/10/18);Ontario;M;New Democratic Party (2008/10/14 - 2015/10/18)
Allen, Mike;1960-11-19;MP (2006/01/23 - 2015/10/18);Tobique--Mactaquac (2006/01/23 - 2015/10/18);New Brunswick;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Allison, Dean;1965-02-17;"MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)";"Niagara West (2015/10/19 - )
Niagara West--Glanbrook (2004/06/28 - 2015/10/18)";"Ontario
Ontario";M;Conservative Party of Canada (2004/06/28 - )
Ambrose, Rona;1969-03-14;"MP (2015/10/19 - 2017/07/04)
MP (2004/06/28 - 2015/10/18)";"Sturgeon River--Parkland (2015/10/19 - 2017/07/04)
Edmonton--Spruce Grove (2004/06/28 - 2015/10/18)";"Alberta
Alberta";F;Conservative Party of Canada (2004/06/28 - 2017/07/04)
Anders, Rob;1972-03-31;MP (1997/06/02 - 2015/10/18);Calgary West (1997/06/02 - 2015/10/18);Alberta;M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)"
Anderson, David;1957-08-14;MP (2000/11/27 - 2019/10/20);Cypress Hills--Grasslands (2000/11/27 - 2019/10/20);Saskatchewan;M;"Conservative Party of Canada (2003/12/23 - 2019/10/20)
Canadian Reform Conservative Alliance (2000/11/27 - 2003/12/22)"
André, Guy;1959-11-16;MP (2004/06/28 - 2011/05/01);Berthier--Maskinongé (2004/06/28 - 2011/05/01);Quebec;M;Bloc Québécois (2004/06/28 - 2011/05/01)
Andrews, Scott;1974-12-27;MP (2008/10/14 - 2015/10/18);Avalon (2008/10/14 - 2015/10/18);Newfoundland and Labrador;M;"Independent (2014/11/05 - 2015/10/18)
Liberal Party of Canada (2008/10/14 - 2014/11/04)"
