"Prénom","Nom","Genre","Rôles","Responsabilités","Arrondissement","Nom du district","Nom du parti","Adresse ligne 1 (Hôtel de Ville)","Adresse ligne 2 (Hôtel de Ville)","Localité (Hôtel de Ville)","Province (Hôtel de Ville)","Code postal (Hôtel de Ville)","Adresse ligne 1 (Arrondissement)","Adresse ligne 2 (Arrondissement)","Localité (Arrondissement)","Province (Arrondissement)","Code postal (Arrondissement)","Téléphone (Arrondissement)","Téléphone (Hôtel de Ville)","Télécopieur","Courriel","URL d'une photo","URL source","Poste"
"Manon","BARBE","Madame","Mairesse d'arrondissement; Présidente du conseil d'agglomération; membre du conseil d'agglomération; Leader de l'Équipe LaSalle; Présidente de la Commission sur l'inspecteur général; Coprésidente de la Table d'action et de concertation en sécurité urbaine; Conseillère de la Ville                                                                                     ",,"LaSalle",,"Équipe LaSalle",,,,,,"55, avenue Dupras",,"LaSalle","Québec","H8R 4A8","514 367-6000 poste 6205",,"514 367-6600","manon.barbe@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/d4mxksvuer1nrqvj6jxx.jpg","https://montreal.ca/elus/manon-barbe ","5,00"
"Mario","BATTISTA","Monsieur","Conseiller d'arrondissement",,"Saint-Léonard","Saint-Léonard-Ouest","Indépendant",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","Québec","H1R 3B1","514 328-8410",,"514 328-8419","mario.battista@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/cfqwxhw6aak3hgigkvsn.jpg","https://montreal.ca/elus/mario-battista ","15,21"
"Robert","BEAUDRY","Monsieur","Conseiller de la ville; Conseil d'arrondissement de Ville-Marie; Membre du comité exécutif; Membre de la Communauté métropolitaine de Montréal
","Stratégie immobilière; grands parcs; Parc Jean-Drapeau; Habitation","Ville-Marie","Saint-Jacques","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","800, boul. De Maisonneuve Est","17e étage","Montréal","Québec","H2L 4L8","514 868-5296","514-872-1116","514 872-8347","robert.beaudry@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ns2aiqgdcubq3c3taxsb.jpg","https://montreal.ca/elus/robert-beaudry ","18,20"
"Dimitrios (Jim)","BEIS","Monsieur","Maire d'arrondissement; Membre du conseil d'agglomération; Conseil d'arrondissement de Pierrefonds-Roxboro
",,"Pierrefonds-Roxboro",,"Ensemble Montréal",,,,,,"13665, boul. de Pierrefonds",,"Pierrefonds","Québec","H9A 2Z4","514 624-1400",,"514 624-1415","dimitrios.beis@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/xxrvon2vjt1mydkjdqjv.jpg","https://montreal.ca/elus/dimitrios-jim-beis ","10,00"
"Renée-Chantal","BELINGA","Madame","Conseillère d'arrondissement                        Présidente de la Commission sur le développement social et la diversité montréalaise",,"Montréal-Nord","Ovide-Clermont","Indépendante",,,,,,"4243, rue de Charleroi",,"Montréal-Nord ","Québec","H1H 5R5","514-328-4000 poste 5576",,"514-328-5577","renee-chantal.belinga@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/no046sptumauk8krlesr.jpg","https://montreal.ca/elus/renee-chantal-belinga ","8,21"
"Michèle D.","BIRON","Madame","Conseillère d'arrondissement
Présidente du Comité consultatif d’urbanisme de Saint-Laurent",,"Saint-Laurent","Norman-McLaren","Ensemble Montréal",,,,,,"777, boulevard Marcel-Laurin ",,"Saint-Laurent","Québec","H4M 2M7","514 855-6000 p. 4018",,"514 855-6049","micheled.biron@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/nwgcwo8kpwo5g10cogrm.jpg","https://montreal.ca/elus/michele-d-biron ","14,21"
"Michel","BISSONNET","Monsieur","Maire d'arrondissement; Vice-présidente du conseil",,"Saint-Léonard",,"Ensemble Montréal",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","Québec","H1R 3B1","514 328-8410",,"514 328-8419","michel.bissonnet@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/w8ftjr2xz69cxouukfyu.jpg","https://montreal.ca/elus/michel-bissonnet ","15,00"
"Christine","BLACK","Madame","Mairesse d'arrondissement; Vice-présidente de la Commission sur l'inspecteur général",,"Montréal-Nord",,"Ensemble Montréal",,,,,,"4243, rue de Charleroi",,"Montréal-Nord ","Québec","H1H 5R5","514-328-4000 poste 5570",,"514-328-5577","christine.black@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/r6htoqop276bducztlc3.jpg","https://montreal.ca/elus/christine-black ","8,00"
"Nancy","BLANCHET","Madame","Conseillère d'arrondissement; Membre de la Commission sur le développement social et la diversité montréalaise",,"LaSalle","Sault-Saint-Louis","Équipe LaSalle",,,,,,"55, avenue Dupras",,"LaSalle","Québec","H8R 4A8","514-367-6000, poste 6246",,"514 367-6600","nancy.blanchet@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/siydt9mbofykfzfrwsa8.jpg","https://montreal.ca/elus/nancy-blanchet ","5,12"
"Josefina","BLANCO","Madame","Conseillère d'arrondissement; Membre de la Commission sur le développement social et la diversité montréalaise; Membre de la Commission de la sécurité publique                                                                                                  ; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs",,"Plateau-Mont-Royal","De Lorimier","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est ","5e étage","Montréal","Québec","H2T 3E6","514 872-8023",,"514 868-4077","josefina.blanco@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/j2jyffbes5i3e6mno6ir.jpg","https://montreal.ca/elus/josefina-blanco ","11,21"
