"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,12,26,1015,905,70,1331,1219,72,"B6",229,"N558JB","JFK","RSW",175,1074,9,5,2013-12-26 09:00:00
"2",2013,7,16,1908,1915,-7,2210,2205,5,"AA",791,"N3HTAA","LGA","DFW",175,1389,19,15,2013-07-16 19:00:00
"3",2013,10,3,1232,1203,29,1436,1412,24,"EV",4567,"N21130","EWR","MCI",156,1092,12,3,2013-10-03 12:00:00
"4",2013,3,9,934,945,-11,1109,1130,-21,"AA",319,"N592AA","LGA","ORD",114,733,9,45,2013-03-09 09:00:00
"5",2013,11,14,2209,2048,81,30,2319,71,"EV",4512,"N21129","EWR","MSY",177,1167,20,48,2013-11-14 20:00:00
"6",2013,10,31,1826,1830,-4,2223,2157,26,"UA",389,"N598UA","JFK","SFO",331,2586,18,30,2013-10-31 18:00:00
"7",2013,10,18,2225,2110,75,48,2341,67,"EV",5811,"N14923","EWR","JAX",122,820,21,10,2013-10-18 21:00:00
"8",2013,6,5,720,725,-5,1032,1040,-8,"AA",443,"N332AA","JFK","MIA",146,1089,7,25,2013-06-05 07:00:00
"9",2013,8,2,631,620,11,833,843,-10,"DL",1743,"N655DL","JFK","ATL",100,760,6,20,2013-08-02 06:00:00
"10",2013,2,7,1537,1540,-3,1748,1744,4,"EV",4667,"N11191","EWR","MSP",164,1008,15,40,2013-02-07 15:00:00
"11",2013,5,14,1337,1340,-3,1603,1640,-37,"AA",753,"N3FYAA","LGA","DFW",186,1389,13,40,2013-05-14 13:00:00
"12",2013,10,2,1747,1759,-12,2020,2052,-32,"B6",299,"N746JB","LGA","MCO",123,950,17,59,2013-10-02 17:00:00
"13",2013,10,23,1855,1900,-5,2147,2151,-4,"B6",883,"N649JB","JFK","MCO",151,944,19,0,2013-10-23 19:00:00
"14",2013,2,11,1456,1500,-4,1818,1825,-7,"AA",1925,"N3JXAA","LGA","MIA",153,1096,15,0,2013-02-11 15:00:00
"15",2013,12,13,846,900,-14,1003,1017,-14,"B6",2280,"N179JB","EWR","BOS",47,200,9,0,2013-12-13 09:00:00
"16",2013,6,28,1554,1529,25,1845,1821,24,"B6",573,"N535JB","EWR","TPA",139,997,15,29,2013-06-28 15:00:00
"17",2013,5,27,1354,1358,-4,1657,1704,-7,"B6",209,"N779JB","JFK","LGB",337,2465,13,58,2013-05-27 13:00:00
"18",2013,12,15,1034,1040,-6,1348,1355,-7,"AA",1599,"N3BPAA","LGA","MIA",173,1096,10,40,2013-12-15 10:00:00
"19",2013,5,10,639,645,-6,841,841,0,"US",1032,"N559UW","EWR","CLT",75,529,6,45,2013-05-10 06:00:00
"20",2013,7,25,738,745,-7,853,915,-22,"UA",1253,"N24715","EWR","ORD",104,719,7,45,2013-07-25 07:00:00
"21",2013,12,3,1207,1200,7,1532,1526,6,"UA",766,"N512UA","JFK","SFO",366,2586,12,0,2013-12-03 12:00:00
"22",2013,2,18,1419,1430,-11,1711,1735,-24,"AA",883,"N492AA","EWR","DFW",213,1372,14,30,2013-02-18 14:00:00
"23",2013,11,7,1955,2000,-5,2113,2117,-4,"9E",2950,"N801AY","JFK","BWI",44,184,20,0,2013-11-07 20:00:00
"24",2013,7,24,1315,1200,75,1430,1318,72,"EV",3838,"N12922","EWR","ROC",55,246,12,0,2013-07-24 12:00:00
"25",2013,12,27,1424,1429,-5,1700,1703,-3,"B6",477,"N316JB","JFK","JAX",137,828,14,29,2013-12-27 14:00:00
"26",2013,7,27,900,905,-5,1217,1223,-6,"DL",874,"N330NB","LGA","MIA",174,1096,9,5,2013-07-27 09:00:00
"27",2013,7,21,1826,1620,126,2219,1945,154,"AA",1467,"N5BYAA","LGA","MIA",194,1096,16,20,2013-07-21 16:00:00
"28",2013,4,2,1355,1355,0,1510,1520,-10,"WN",2444,"N733SA","LGA","MDW",122,725,13,55,2013-04-02 13:00:00
"29",2013,8,24,1450,1451,-1,1730,1750,-20,"UA",841,"N512UA","JFK","LAX",312,2475,14,51,2013-08-24 14:00:00
"30",2013,3,25,NA,1835,NA,NA,2051,NA,"9E",4059,NA,"LGA","DAY",NA,549,18,35,2013-03-25 18:00:00
"31",2013,1,31,1325,1322,3,1630,1624,6,"B6",431,"N597JB","LGA","SRQ",169,1047,13,22,2013-01-31 13:00:00
"32",2013,6,25,1954,1855,59,2305,2205,60,"VX",169,"N525VA","EWR","LAX",326,2454,18,55,2013-06-25 18:00:00
"33",2013,9,10,541,545,-4,802,830,-28,"UA",1714,"N25705","LGA","IAH",175,1416,5,45,2013-09-10 05:00:00
"34",2013,7,8,1016,1015,1,1211,1209,2,"EV",4517,"N17169","EWR","CHS",97,628,10,15,2013-07-08 10:00:00
"35",2013,9,18,1108,1015,53,1206,1139,27,"EV",4198,"N11155","EWR","BNA",101,748,10,15,2013-09-18 10:00:00
"36",2013,5,19,827,830,-3,1110,1128,-18,"DL",857,"N3764D","JFK","SAN",312,2446,8,30,2013-05-19 08:00:00
"37",2013,5,11,623,629,-6,805,825,-20,"US",1141,"N126UW","EWR","CLT",84,529,6,29,2013-05-11 06:00:00
"38",2013,8,24,639,640,-1,1103,1040,23,"AA",413,"N3AWAA","JFK","SJU",238,1598,6,40,2013-08-24 06:00:00
"39",2013,8,28,1945,1900,45,2120,2039,41,"UA",693,"N847UA","LGA","ORD",113,733,19,0,2013-08-28 19:00:00
"40",2013,4,24,1056,1100,-4,1226,1245,-19,"MQ",4471,"N717MQ","LGA","RDU",74,431,11,0,2013-04-24 11:00:00
"41",2013,1,5,1325,1330,-5,1640,1645,-5,"AA",753,"N466AA","LGA","DFW",233,1389,13,30,2013-01-05 13:00:00
"42",2013,6,16,824,825,-1,1004,1023,-19,"B6",219,"N329JB","JFK","CLT",78,541,8,25,2013-06-16 08:00:00
"43",2013,7,1,NA,955,NA,NA,1115,NA,"MQ",3670,"N531MQ","LGA","BNA",NA,764,9,55,2013-07-01 09:00:00
"44",2013,2,20,921,929,-8,1148,1206,-18,"EV",4140,"N14186","EWR","ATL",117,746,9,29,2013-02-20 09:00:00
"45",2013,1,10,1233,1217,16,1614,1556,18,"UA",1227,"N37274","EWR","PHX",306,2133,12,17,2013-01-10 12:00:00
"46",2013,8,22,1443,1430,13,1738,1735,3,"B6",301,"N648JB","JFK","FLL",148,1069,14,30,2013-08-22 14:00:00
"47",2013,2,6,758,755,3,928,930,-2,"WN",3935,"N747SA","LGA","MDW",118,725,7,55,2013-02-06 07:00:00
"48",2013,10,1,1719,1729,-10,1828,1900,-32,"EV",4195,"N13913","EWR","BNA",103,748,17,29,2013-10-01 17:00:00
"49",2013,12,14,755,800,-5,1100,1036,24,"DL",2047,"N610DL","LGA","ATL",136,762,8,0,2013-12-14 08:00:00
"50",2013,8,22,1954,1815,99,2158,2047,71,"DL",926,"N303DQ","EWR","ATL",95,746,18,15,2013-08-22 18:00:00
"51",2013,9,1,1959,2005,-6,2215,2149,26,"B6",105,"N520JB","JFK","ORD",135,740,20,5,2013-09-01 20:00:00
"52",2013,6,20,1323,1257,26,1410,1353,17,"EV",5968,"N14960","EWR","BDL",29,116,12,57,2013-06-20 12:00:00
"53",2013,4,23,1820,1700,80,1937,1830,67,"MQ",4323,"N636MQ","JFK","ORF",49,290,17,0,2013-04-23 17:00:00
"54",2013,3,28,1414,1420,-6,1554,1620,-26,"MQ",4588,"N6EAMQ","LGA","MSP",139,1020,14,20,2013-03-28 14:00:00
"55",2013,10,31,1929,1859,30,2150,2126,24,"FL",645,"N992AT","LGA","ATL",114,762,18,59,2013-10-31 18:00:00
"56",2013,4,26,1237,1240,-3,1420,1434,-14,"DL",1697,"N332NB","EWR","DTW",86,488,12,40,2013-04-26 12:00:00
"57",2013,7,22,902,841,21,1024,1004,20,"EV",5827,"N13118","EWR","RIC",54,277,8,41,2013-07-22 08:00:00
"58",2013,4,9,1457,1500,-3,1734,1801,-27,"DL",2181,"N637DL","LGA","MCO",124,950,15,0,2013-04-09 15:00:00
